frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,629.2987999129457,2472.0805877332195,154508.21649775867,4.201133749789219,0.11022176161900857,1944.2497938222848,497001.0,0.00011793931707205867,0,0
1,629.2717611751796,2470.9298903165095,154923.83626504417,4.172216819461989,0.10471506818975458,1962.241682050417,494606.0,0.0004714979529576464,1,0
2,629.3282905539762,2469.5102952518832,154312.5587361119,4.247338625109081,0.06766971624471489,1839.311395737604,516365.0,0.0024949515809692025,2,0
3,629.2986264144984,2468.3160187927333,150088.6394727277,4.131772124824898,0.0779159932420734,1939.7600976837105,494437.0,0.0010092553566287167,3,0
4,629.249810413768,2466.9219867204583,156299.1389762961,4.265383967833387,0.10686097696745536,1833.940628010866,521898.0,0.0014234480207550506,4,0
5,629.2722617221831,2465.4143860676486,149171.94805768869,4.127728524127112,0.08957232074096455,1943.933585153827,491297.0,0.0006129945288464977,5,0
6,629.3083427495652,2463.4450798079374,155044.68058532942,4.3264201534832445,0.07885008232221825,1768.9175027499984,531911.0,0.0,6,0
7,629.1610802392667,2461.4097868976696,157884.12462523315,4.329146643524693,0.11845336045339043,1799.9633514044924,525697.0,0.0007024833381260201,7,0
8,629.0739147548504,2459.3825331119356,160433.27698435463,4.4015862681442695,0.0825625903498909,1699.7547357046135,546901.0,0.0,8,0
9,629.0155576870645,2457.292868809247,157766.86458150094,4.266392452019825,0.050861161207014643,1800.9424081593993,520085.0,0.00048236523502260485,9,0
10,628.5913653385935,2454.8782534539905,169129.70598674103,4.602895971270655,0.04210623922977753,1610.278292692906,568077.0,0.0003653182622848847,10,0
11,628.3104627404724,2451.9272194397377,172241.1950436198,4.637937922456039,0.040919136842699426,1587.6987376172858,578568.0,0.004049089543855094,11,0
12,628.1618159430955,2448.570177757105,163607.65670191703,4.444048501886107,0.05792573806163316,1780.3512191317084,531497.0,0.0023812068996675313,12,0
13,628.140079527265,2444.9222017493735,172614.6107842893,4.545698025656547,0.0593640068745167,1751.82118784817,566529.0,0.004693819500797524,13,0
14,628.1421893555835,2440.9098132084373,171231.3838196682,4.49192810019465,0.05981844064991206,1693.317617426976,565695.0,0.004035990890330338,14,0
15,628.2381853676851,2436.550611125925,159277.02669507134,4.769292923435483,0.07152003356997275,1796.5880765009783,527054.0,0.0006319874193704918,15,0
16,628.0200149231731,2431.3520998218232,157719.04506618212,4.53082102232755,0.04759975525912853,1847.6419112584174,516633.0,0.0017902003273328974,16,0
17,627.9015320100614,2425.543872568346,162674.95571338336,4.543643945747138,0.07227577076950696,1841.0609101716595,520104.0,0.0,17,0
18,627.3742040474946,2418.9740513456986,154328.8916259373,4.148793440939476,0.07699471337587101,1936.7362358917867,497614.0,0.0016190171783009033,18,0
19,627.1647479564738,2411.8483322086827,150352.3764749392,4.067803951105354,0.08340494418074704,2040.024076799809,472220.0,0.0012569671374187655,19,0
20,626.6784067463041,2404.016809511977,148044.37460447705,4.036157250217644,0.04921918627241837,2040.4401594543256,472875.0,,20,0
21,626.3583447102445,2395.480496611948,143171.27969784004,3.928597859961155,0.058530576088998684,2090.0736973309013,454262.0,0.003692222683609834,21,0
22,625.8427782372274,2386.838088115226,130773.54821854703,3.805783193645029,0.11435502528171884,2313.2405763778333,402825.0,0.004086643642675827,22,0
23,625.8540768712705,2379.28737416683,139784.0198020564,5.289926785923394,0.4835467975688054,2359.173505565251,405638.0,0.003996815644049396,23,0
24,625.1093277625807,2366.8979653761467,121861.83803800066,3.9026298505195527,0.05633517313633485,2332.559278208003,384259.0,0.0062871228194091395,24,0
25,624.2780565420101,2355.995901658868,112326.94665378597,3.7846334706473312,0.1272396930615773,2348.9010482937674,357950.0,0.006595351811377041,25,0
26,623.4649825182053,2344.3070900932557,100180.16081333582,3.779884446567446,0.08415954552779693,2423.4236998291553,313011.0,0.004968664109657645,26,0
27,623.0443300597886,2332.1291590985497,94994.13495862867,3.8274114674174395,0.09616518447324,2465.095840526765,297331.0,,27,0
28,622.7493295119842,2318.189276482185,89144.33106981422,3.6134294395289768,0.03693086343745007,2506.504832816811,281030.0,0.00031638159668639633,28,0
29,622.6371132645303,2303.798719306002,84961.36709372168,3.3123698048763943,0.06521628231414606,2509.442365609405,273695.0,0.0007128799340760894,29,0
30,622.6750583677525,2289.168988165284,86929.99302292478,3.341880038550323,0.07976196267986045,2494.9809175473656,283503.0,,30,0
31,622.6016904789858,2274.441942772164,96018.28877171384,3.340708949072171,0.1211369072117632,2438.213533462311,294621.0,0.002527174878527958,31,0
32,622.6760991523594,2259.704562062526,97108.4669054724,3.339772118849867,0.07881160726904965,2437.3704060533364,303892.0,0.0014529177310607837,32,0
33,622.6146776304906,2244.5698499974874,102102.30284746556,3.4354611511072877,0.1122779988895102,2454.23374347126,315860.0,0.00048273126709858465,33,0
34,622.666199965477,2229.5948515489804,108681.113977889,3.5221332098250655,0.11212730211628122,2396.568418677387,337961.0,0.00895991056169932,34,0
35,622.590759042152,2214.604473999989,101678.02150498514,3.4171092335508813,0.10256801717796893,2434.059508192118,311714.0,,35,0
36,622.4137793059136,2199.2387674676406,106331.78143340272,3.4541316752163578,0.0740068845089646,2379.0757701494053,332553.0,0.0,36,0
37,622.3371186476458,2183.8845964785833,98603.20362425136,3.3645047621858484,0.08373094700411372,2435.905719669101,308657.0,,37,0
38,622.413785382888,2168.295108722561,100626.27718268834,3.3647742533942324,0.07658550821672848,2400.8023404502537,314462.0,,38,0
39,622.2586923399843,2152.6340506089737,107074.99372211202,3.4471201967830787,0.11733910422113311,2352.859819279067,328249.0,,39,0
40,622.52348649147,2137.05137060874,85406.64409358581,3.2845460425673694,0.1209040868571662,2457.228587277812,271446.0,0.0,40,0
41,622.5291643900208,2121.179226917931,82661.5451054984,3.4214147887764423,0.1630902985009165,2414.310182328729,266181.0,0.0007893768550552281,41,0
42,622.7835558490483,2105.5463925162594,77170.2302364587,3.2107410842993236,0.18581641137370905,2464.6981178783335,244355.0,0.00017839395771782738,42,0
43,623.2442118286243,2089.8599390590043,75280.21945408103,3.242439538159707,0.18118450971440625,2463.109579311289,233837.0,,43,0
44,623.7798086620567,2074.319684373735,73789.9066806148,3.180703889427927,0.15433965974028074,2413.2182642422267,230749.0,0.0023924363630966105,44,0
45,624.4721374936184,2058.9792887487024,74364.04661517666,3.1817751086168475,0.1365108515658544,2520.7962330286564,224486.0,,45,0
46,625.4319527552939,2044.0310298284267,69870.43783125581,3.2988161786325274,0.17129874558516184,2470.2153477706634,217593.0,0.006949293065169026,46,0
47,626.5355620058052,2029.5007936411062,74941.71667525543,3.3979261386243387,0.18729815809436298,2397.9168580077508,230388.0,0.019968330361820913,47,0
48,628.2828593006872,2015.9501572964925,76968.93198136015,3.6591164424848994,0.24516801600571186,2283.9047552071916,236950.0,0.00248042327027642,48,0
49,629.8790183036738,2002.8512677562062,80460.86038133882,3.494757619706492,0.16466163065700212,2358.230918593991,255131.0,,49,0
50,632.0695625755473,1991.2774877425682,81213.16090549769,3.6176468142330807,0.1346612732048798,2303.390750325685,244679.0,0.00036860997774204926,50,0
51,634.7149318325119,1981.5130160607198,85537.40555403402,3.9731060809626135,0.13712363778328843,2292.1604620323815,251544.0,,51,0
52,637.417674759087,1972.4839363127767,88343.77035368037,3.860840107681157,0.2399419469481235,2278.6066068817163,246046.0,0.0026317115521210855,52,0
53,639.3758674178443,1964.590926704539,86952.17232419239,3.9409681776023873,0.22034968244854702,2232.692925469534,244624.0,,53,0
54,640.4839675702962,1956.5649121439021,84858.35976128561,3.857926300318835,0.21182221712494187,2282.30611512744,240297.0,,54,0
55,640.8914135372389,1948.6810305830184,83527.9392044956,3.9722568529516185,0.09132413066847327,2201.1326922548324,242333.0,0.0,55,0
56,640.9785884174679,1938.8745566040177,85765.3162823997,4.0800822696964145,0.047932689830185664,2237.3827954067397,251787.0,,56,0
57,642.2606485002955,1929.0518451105177,77786.38538638632,3.8038847760473735,0.03574585503130124,2208.1596050472526,232298.0,0.0026091216594459083,57,0
58,643.076570495671,1918.684839552327,73972.1251889273,3.7191210521984823,0.05160237191382733,2249.6705028901188,221204.0,,58,0
59,643.2462131837956,1907.6854537745028,71984.65567323781,3.623049945816654,0.05352423421344752,2183.7736092381742,213450.0,0.005983007960539806,59,0
60,643.1434408219895,1895.9410422005303,65576.34309782162,3.596538762696498,0.0980049887259388,2121.8989719777715,191939.0,,60,0
61,642.9194154010886,1883.7904575764899,61952.04141961006,3.5891178249335107,0.19367106536797285,2092.0630615923715,178217.0,0.005643991201347615,61,0
62,642.7764030933417,1870.9428619390274,55170.90266513154,3.6552579541284818,0.2216058282158006,1853.7765661533444,161675.0,0.0012993427498935873,62,0
63,642.7715721570113,1857.6853658337172,53531.00072962325,3.817239027936557,0.2729974481278369,1745.0398091383224,159581.0,0.004410566535503425,63,0
64,642.2943927148256,1844.4878849674794,51684.964040133564,3.6680679213383884,0.2853293656936282,1858.31668248599,147337.0,0.0005583765173245376,64,0
65,642.1918813309704,1830.720255772478,52559.43017988741,3.6585620258976026,0.29442338928303324,1945.8515817089128,150881.0,0.016618283507141354,65,0
66,642.2726822889628,1816.019189877306,55617.22341974659,3.727560517527496,0.38454177162079434,1818.1637614018107,156075.0,0.001985983577894192,66,0
67,642.1085861893289,1801.599960868108,54488.80973542984,3.80136129166311,0.3521325778235745,1765.4857081748057,156513.0,0.005623526082091137,67,0
