frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,799.5239263730583,2400.091978073697,17725.34206134845,4.974845525616777,0.08364592316832827,237.33959835556465,37300.0,,0,1
1,799.7631775458904,2397.5832928767513,16740.57625050966,4.9291995779504285,0.06942767749591154,238.8411468109977,35980.0,,1,1
2,799.9258276286931,2394.2770083316677,16498.918148769302,4.873123727127933,0.06757101736081339,218.15817160436805,34208.0,,2,1
3,800.801707286349,2389.582175220015,15186.285144246049,4.909995882120867,0.1962492156217957,219.48573468452585,32536.0,,3,1
13,792.1843541623415,2387.055308779933,32648.452026302246,4.918135516412224,0.0763289496743119,496.86807912666455,62534.0,,13,1
14,792.2460976921709,2376.597179764086,30945.558716922525,4.924598096622467,0.08705245383278357,465.78660780997114,59632.0,,14,1
15,792.826316946171,2366.1665725577427,32274.331377822276,4.925162472158373,0.06720636383875803,503.07403355896867,61089.0,,15,1
16,793.5549241724609,2355.583781193728,32505.054932502197,5.117528183142494,0.0803207556167183,454.86461373715144,61254.0,,16,1
17,794.7932340544492,2344.344839204077,32089.18750949267,5.125437504902625,0.047434327710125,492.3747147514466,61922.0,,17,1
18,796.1481934943224,2333.650403583419,34019.76701638344,5.145582205022849,0.07139897038461647,495.304207534136,63665.0,,18,1
19,797.6942516477616,2322.556664889254,33461.051007136586,5.302684131856129,0.08058507435513385,458.006381924091,63031.0,,19,1
20,799.4691460958201,2311.318484459339,33142.23283256157,5.109937883812692,0.06430720115981431,456.7238345964357,63399.0,,20,1
21,802.8673666797257,2300.8181984584594,33220.36920368596,5.409899500320049,0.10848998599446665,393.77713238164677,63035.0,,21,1
22,807.4831070035335,2290.1867740727243,36311.018789621354,5.649094012094393,0.07300164879414378,479.971515337864,70688.0,,22,1
23,812.8055326427988,2281.765625306228,40797.574692523885,6.2700225647915175,0.13642771594928027,459.6499862422406,77500.0,,23,1
24,818.5594517502326,2274.117170595264,40927.23298893312,6.615734663256323,0.1291270961194201,430.12583591182744,78642.0,,24,1
25,824.0032118153658,2268.3575001198374,38261.54320129433,6.4847007976372275,0.05166479990107967,438.6627015066653,74254.0,,25,1
26,827.7461754354847,2263.520343977905,31974.561055002556,6.546981998832516,0.10881396024579867,426.23026975045445,64234.0,,26,1
27,829.5588823964027,2258.8511895908687,28494.14529835962,6.227664767107306,0.04568490804629063,375.3250666947515,59530.0,,27,1
28,831.6645140840385,2253.557632306468,26212.05010924192,6.342559831342659,0.1305955191506523,391.4450971588483,55511.0,,28,1
29,833.8882492910234,2247.321885599896,26030.77266802999,6.437570799426689,0.15270051605608,395.24908870997416,54055.0,,29,1
30,836.5248439155175,2239.491751427259,26630.506698546713,6.658873357151591,0.19659339822218624,409.0140561550858,53853.0,,30,1
31,839.2011117559261,2230.2106423748255,25822.207683902245,6.60310666073489,0.16091462937874285,410.5661406863593,52403.0,,31,1
32,840.5245849331295,2220.925044845745,25109.128453207686,6.398676847729538,0.136549165654982,334.21590894302267,52510.0,,32,1
33,841.4773740068371,2212.0574459879876,24032.845425591568,5.890852714203266,0.11767351592722045,358.1249820071494,51496.0,,33,1
34,844.1794191254825,2203.679874336197,22992.81508593349,6.063027209980962,0.11266411678665883,333.1360097667241,51213.0,,34,1
35,847.1734363285884,2196.167624037226,22685.285656785294,6.139183773333299,0.13725573030368965,355.0660176637119,47636.0,,35,1
36,849.7936363704181,2189.00439291714,23319.662404469906,5.928981025696461,0.06989812478853388,367.7619021287745,48634.0,,36,1
37,851.0881018423357,2181.1758960365114,22129.74786477036,5.891081369440197,0.043227780548217784,326.15045936227,48062.0,,37,1
38,851.5750593561272,2173.0513446370774,21436.037733743142,5.5184660007531185,0.12527757076659085,312.9153749199746,47433.0,,38,1
39,852.1583266614243,2165.055750043885,20076.79076961736,5.638484265989232,0.13813217544446937,312.95712878303755,42660.0,,39,1
40,853.2906821808468,2156.688646024973,21712.71107858738,6.422326367499532,0.1742388571291095,285.5415275092597,46272.0,,40,1
41,852.5657668447952,2148.263639761744,22418.76756087426,6.410792809752202,0.21334140732923684,324.1913788024924,47916.0,,41,1
42,851.4094631735333,2140.1700394288855,21340.709983662604,6.51732881907678,0.2282441519236694,280.85870160188205,45831.0,,42,1
43,851.2397171257968,2130.8996505739765,21043.827630192758,7.605566075148252,0.23725417434743473,204.8616079159682,48439.0,,43,1
44,849.1811686284317,2122.3562189510794,23195.852842039116,7.715412447712541,0.3145635963995032,291.5300340297382,49543.0,,44,1
45,846.5735625074474,2113.6922215373447,22159.297339121855,7.175085307957585,0.20836247143201267,257.88739212412446,48055.0,,45,1
46,845.1714634155938,2105.0626911632203,22372.848363906993,7.6231873341249665,0.3207074902693747,262.2237364008117,48237.0,,46,1
47,843.1150476794603,2096.2607159131967,20622.66592734763,7.678162665161445,0.2970776697916648,227.760897059216,45309.0,,47,1
48,840.3495502209744,2087.0870395253896,18776.64617427861,6.952916592908241,0.222891109368713,222.27082313713464,41886.0,,48,1
49,841.1395786841397,2077.877667516051,19743.2574173164,8.029628378683228,0.2983200830485764,227.5356020244247,44995.0,,49,1
50,840.0385848823008,2068.974243667064,21362.11317759753,7.92101646086772,0.20404341593415043,221.21401752379313,46772.0,,50,1
51,838.5369075326616,2059.553306910611,22778.146906694183,7.682635644437606,0.09976071016744661,209.15758727536775,50016.0,,51,1
52,837.9775048700609,2050.0496444804967,23195.66620997043,7.914032165671212,0.09829689046645483,205.00147805359555,51385.0,,52,1
53,838.095901219027,2039.6382707359303,20833.53711380751,8.095536084414462,0.16444542969969667,190.45449185486916,47243.0,,53,1
54,838.2219446276429,2029.5219418366196,19604.494887304376,8.155160420162334,0.22026876119445013,198.11036444819467,45188.0,,54,1
55,838.2624544268527,2019.2283350901919,20540.883696457764,8.08174152588713,0.18602189124464757,184.06975032107638,46533.0,,55,1
56,838.1851050982959,2009.0956572194332,18967.691630233,7.905786517439096,0.19069045732427525,197.93071941909633,46371.0,,56,1
57,839.4917657842659,1998.9092968159753,18337.73412722549,7.696372959643322,0.1912571351170318,189.07786507436413,42876.0,,57,1
58,841.3902136837231,1988.6892689711153,19127.619963601614,8.00730566563661,0.20198381354254832,191.26613069345277,44738.0,,58,1
59,843.1538914768184,1978.4603890890135,19295.944569571482,7.866669066437021,0.2067958505250269,211.97066031598263,44200.0,,59,1
60,844.4041286749256,1968.4429086343073,19031.787632171818,7.129170391563954,0.13769875483917726,216.8531810959008,45266.0,,60,1
61,848.0650934799,1958.9174886416995,19921.411343405238,7.578587335899198,0.1756058620539683,200.53180645017565,45555.0,,61,1
62,851.0034682773112,1949.5738757224717,20075.823368220656,7.604885230864354,0.20890083128289388,194.0260751152859,45954.0,,62,1
63,853.790464429958,1939.9169370761142,19756.926050189402,7.497495604238497,0.2197697558229698,224.2430063074844,45696.0,,63,1
64,857.5203303996061,1930.7472043336313,20134.209549558684,7.7638047377346,0.24500800915933346,198.85818127253225,47334.0,,64,1
65,859.3856608777326,1921.5486295965218,18634.83766195265,6.976168570346561,0.20289803127942607,216.2554791592714,44588.0,,65,1
66,862.3604409053079,1912.1381137839082,18090.117077542287,7.4245721926498,0.22550436461281037,205.85903877529705,42771.0,,66,1
67,864.5327338716364,1903.191299923212,19433.630841181563,6.75198422147689,0.18443281012316418,214.64993388842208,45065.0,,67,1
68,867.2235194710922,1894.5170957148405,17622.34287751434,7.3830434725900185,0.2149780217473444,198.70175635776533,42856.0,,68,1
69,869.2138350447062,1884.2965117733409,16817.179762318585,7.53636564960081,0.30160048113418564,190.12776228873417,41387.0,,69,1
70,870.3300251178541,1874.9723618563255,15588.140515940147,7.1994520547672956,0.21429972037990752,184.84091519895026,38313.0,,70,1
71,871.0594536486925,1865.4650277576409,16587.05942269269,6.709950645854314,0.20660299295021473,209.0806211730059,40795.0,,71,1
72,871.4982938220098,1855.9844586787049,16003.860312913355,7.239570987594625,0.21201771103528583,166.19618523297385,39344.0,,72,1
73,872.1616716433979,1846.2531028692606,15568.813506372677,8.327161595313138,0.41104290861452386,178.3133465654147,39220.0,,73,1
74,871.2494865471444,1836.790857878408,15292.031027093977,8.70854780258235,0.3683558136863012,186.46701664625076,39918.0,,74,1
75,868.5852297366861,1827.3647917121643,16141.674143144857,8.247653031945712,0.35118183046360035,206.26864392003054,41050.0,,75,1
76,866.354538377494,1818.2265449850784,17367.5949689864,8.777747360420424,0.3310159191057243,203.1292038118758,44045.0,,76,1
77,863.3649345367425,1809.828630658815,17861.24272844715,8.815230416912021,0.37428881621743204,204.6719602063658,42569.0,,77,1
78,861.0569039450221,1800.9526723041288,20509.523678396803,9.332520424676813,0.4692213321328479,200.1672763504688,48777.0,,78,1
79,857.0754728989135,1793.1296193289318,21739.953510925217,9.498674999287827,0.5431862904260809,212.34922982818398,48902.0,,79,1
80,852.1429151288694,1785.4467130693133,21404.1497301908,9.403224703996921,0.5168292049397067,189.02307040241067,50333.0,,80,1
81,847.5495853472198,1777.745444994261,21357.62586193054,9.201370814238853,0.4225488489685728,174.8993527559169,49383.0,,81,1
82,843.1825215269181,1769.9391215768671,20143.331240278836,9.28274912045484,0.4867689507200921,179.1774182943071,48214.0,,82,1
83,839.1901112472666,1761.9261927397456,18212.24197482502,8.89297856388946,0.4569389969454269,173.84550614617336,44997.0,,83,1
84,835.4387615098153,1752.9617135246099,17117.53052658967,8.830741228992945,0.44926833379734316,185.9099796274225,41574.0,,84,1
85,833.3001123707817,1743.4167708903933,16632.11478818627,8.919616361810661,0.5055271631416723,205.9568498926624,40866.0,,85,1
86,830.3728341856425,1733.875322179699,16729.788137106203,7.758241444557404,0.2887408705975251,186.61217769311506,40488.0,,86,1
87,830.3967000670759,1724.2329033471858,19445.82444209306,8.062130615607881,0.3052756348563298,191.96141328793647,46238.0,,87,1
88,829.1213292827853,1714.3126617865946,17372.028190323566,7.40736075164269,0.2301676078285041,209.30377628750222,41452.0,,88,1
89,831.2279960179408,1704.1423785769778,19705.98367920531,8.08789187998628,0.3270711790332179,204.58620144774858,45484.0,,89,1
90,832.3438080862836,1694.2803478206852,21229.104654592964,7.257525175947972,0.23659627061318522,205.7770497716299,47381.0,,90,1
91,836.2945531791675,1686.0591780913785,21869.45251292932,7.635030630542796,0.247937299480888,203.6342881354429,49820.0,,91,1
92,839.3143888946762,1678.542172619986,22277.817109738833,7.374273277522204,0.20909800114001062,218.20278809118906,51309.0,,92,1
93,843.0110623246434,1671.2137592957192,20681.38062962865,7.367904911292948,0.21766707329465873,198.29613478662452,49735.0,,93,1
94,847.0605119901145,1663.8746082179664,20654.72993690872,8.143424196364059,0.34474091612127233,206.70175401002518,48364.0,,94,1
95,849.5026809971229,1656.0581974733072,18919.936162787748,8.51909694063157,0.21906475375531556,209.76284174838992,45566.0,,95,1
96,852.0898563789718,1647.2973639977333,19772.48308472473,8.595399050240047,0.12624330517640758,177.7994134078449,47616.0,,96,1
97,855.5198908736578,1640.2082193417023,16727.66948241306,8.15048708209724,0.2830332398809834,170.93576990104148,42175.0,,97,1
98,857.1669858183507,1631.5170198992932,16744.039714523085,8.208380622322256,0.3930614030260585,188.11444247684722,42868.0,,98,1
99,858.2425064195927,1623.2417306661946,14739.463868205868,8.278577373306335,0.29464533464982956,147.8278927196671,37486.0,,99,1
101,859.5300658762013,1605.4346428089068,14933.896291022878,8.441696687347175,0.382292472295549,150.0373974695641,37650.0,,101,1
102,859.3083168048531,1596.1966849198209,14885.008195964816,8.0000496299124,0.35425561825417695,165.83544214854334,37128.0,,102,1
103,857.3222397294259,1587.2109182106385,14681.541028138608,7.590160615809867,0.24188223913095408,195.89321410046722,38027.0,,103,1
104,858.2819906718047,1578.2653668337869,15645.7695193842,9.112097448014392,0.4659015427128799,171.79694603604366,37804.0,,104,1
105,856.3376864177951,1569.606986336785,16379.560615993305,9.22215644007811,0.4471872571334611,166.87602010362664,40057.0,,105,1
106,854.4261385507785,1560.9752247391434,15720.764455762237,9.356363794491227,0.4716072203672604,148.876276774802,40724.0,,106,1
107,850.5661591967671,1552.2155120019888,16306.163203675056,9.330757784874791,0.40147852368614373,173.09970747354004,39873.0,,107,1
108,847.6271081769593,1544.1649106711734,18203.511787968808,9.376673878328596,0.4995829450674952,178.71927147930882,44807.0,,108,1
109,844.1719306290643,1536.1285850157299,18577.32328494307,9.517763650417086,0.4979407973868596,163.82901829381444,45385.0,,109,1
