frame,y,x,frame,particle
0,795.086200490962,2485.8566174403236,0,0
1,795.1970416675762,2483.590271232148,1,0
2,795.0816392052587,2481.159854763772,2,0
3,794.8735323352057,2478.5359508133056,3,0
4,794.6462948790977,2475.3648248861855,4,0
5,794.3802902990816,2471.3151814074013,5,0
6,793.8712585157924,2466.519205131528,6,0
7,793.3399191646872,2459.0261013373715,7,0
8,793.4580232731203,2452.9562457824154,8,0
9,792.8873358900223,2446.7789657865774,9,0
10,791.8918521594458,2438.632406778878,10,0
11,791.4904063390507,2430.3972934907792,11,0
12,791.7995382256836,2421.6400943551234,12,0
13,792.2016979772604,2411.677549685713,13,0
14,791.9354812675,2402.1248242763013,14,0
15,791.6823947974045,2392.241329269697,15,0
16,792.077730062613,2382.349148794993,16,0
17,792.6694500185689,2371.905816577151,17,0
18,792.4342095914409,2361.5318727188333,18,0
19,792.3402911606323,2351.2853099943923,19,0
20,792.8700707627711,2340.89132302314,20,0
21,792.8601700343237,2330.408079413017,21,0
22,792.7088355730697,2319.7534418633363,22,0
23,793.5159790029699,2309.646817386476,23,0
24,793.3058277597667,2298.1653653675935,24,0
25,793.7253373471357,2287.4193815275066,25,0
26,793.9016889647571,2276.303107855923,26,0
27,794.5618269878436,2265.274502357507,27,0
28,795.27911991043,2253.9025840221916,28,0
29,796.6073121061738,2242.873671359801,29,0
30,797.7023842817673,2231.7301159051112,30,0
31,799.933417476362,2220.7826551374137,31,0
32,802.1605884514122,2211.4348747214303,32,0
33,804.2165513507106,2204.0486909409556,33,0
34,807.4239647238572,2198.0023630050646,34,0
35,809.5792715693368,2191.110211317251,35,0
36,810.1569264053819,2186.327859892082,36,0
37,810.8220340684218,2180.946915244667,37,0
38,811.5406703530863,2174.582253152689,38,0
39,811.476175689992,2167.604864125091,39,0
40,811.9505872550906,2159.0211600186144,40,0
41,812.3189115320365,2151.4303736863185,41,0
42,812.2032648156479,2143.230239824354,42,0
43,813.0096988660604,2133.929824737574,43,0
44,814.4091616439613,2124.605994806951,44,0
