frame,y,x,frame,particle
0,638.149758061013,2529.557327619874,0,0
1,638.0457108192977,2524.360452601321,1,0
2,637.2537065819229,2518.927245809359,2,0
3,669.8242541518225,2514.7839404928877,3,0
4,669.8871968452568,2508.2024865764874,4,0
5,670.191222541797,2499.9451518464957,5,0
6,671.6781960713635,2489.034880028701,6,0
7,635.3968558757132,2475.7289300812254,7,0
8,674.1322677646584,2465.077518649319,8,0
9,674.3984407238012,2451.654955319976,9,0
10,674.4303797171591,2440.663195555978,10,0
11,674.0617725227216,2426.1184852166075,11,0
12,674.6210528587576,2410.9373875376673,12,0
13,675.2876505336112,2397.246105323495,13,0
14,630.8679705292432,2382.445981746024,14,0
15,674.3752042355396,2366.0679572563986,15,0
16,673.3102529045685,2348.970016057992,16,0
17,673.2654158940231,2333.1871677594027,17,0
18,673.4537320790997,2317.6784356552103,18,0
19,673.4328402590775,2301.9056750670143,19,0
20,633.9071426497522,2286.09129658807,20,0
21,633.463964493563,2270.3427689343566,21,0
22,634.4754180496373,2253.643029900432,22,0
23,634.8004471518861,2237.705742689315,23,0
24,636.772814296744,2220.86388807054,24,0
25,639.0587474607692,2204.059109937326,25,0
26,642.4398143207508,2187.1800809684887,26,0
27,646.568203857385,2171.075700016123,27,0
28,651.993454176303,2154.9195922331423,28,0
29,659.3312492320046,2139.315798335408,29,0
30,667.4692755571614,2125.847733805199,30,0
31,677.4583240136258,2114.2961715771,31,0
32,684.5007774130177,2104.0841454272863,32,0
33,689.1480206257128,2095.5711530752747,33,0
34,693.3969864827378,2087.699967199374,34,0
35,697.38176880545,2079.668490279709,35,0
36,700.4620346013069,2070.570482371776,36,0
37,702.2777391007211,2060.8916302608327,37,0
38,703.4471160054918,2049.788922645562,38,0
39,743.8446614090547,2043.3291747655855,39,0
40,705.7633311039531,2025.8668223972606,40,0
41,707.3715520108733,2013.6965496777962,41,0
42,709.2689000805559,2001.0806958145427,42,0
43,710.8671177665369,1988.036033841921,43,0
44,711.5629024252248,1974.0052018690133,44,0
45,712.46684131194,1960.3023323181028,45,0
46,712.9359857919504,1945.9925888050795,46,0
