frame,y,x,frame,particle
0,794.1494571590223,2460.465530110928,0,0
1,794.1668681965197,2460.128782010726,1,0
2,794.0790059515446,2459.423153451892,2,0
3,793.9133999353303,2458.56481252725,3,0
4,793.1674790422067,2457.508070861618,4,0
5,791.6746313483887,2455.591504013485,5,0
6,790.534455237702,2450.8599172438226,6,0
7,790.9507430906366,2443.307510156897,7,0
8,790.4852136297047,2435.1167254039547,8,0
9,789.9351445761903,2426.5819686211316,9,0
10,790.2361925908613,2417.119135607833,10,0
11,790.4788251705955,2407.121162402313,11,0
12,790.5558774718475,2397.1824836885676,12,0
13,790.7232633420384,2387.2935658467877,13,0
14,790.9819915358615,2377.195671137017,14,0
15,790.9437492056735,2367.070726835099,15,0
16,790.8051140552391,2356.9950271643456,16,0
17,790.8973668269168,2346.522080905003,17,0
18,791.0824419589816,2336.0669628783558,18,0
19,791.1468698648479,2325.73618101972,19,0
20,791.2860338393529,2315.4005286396437,20,0
21,791.6055189780843,2304.703889296236,21,0
22,791.9750911686563,2294.1898003642605,22,0
23,792.3194737890947,2284.359273297887,23,0
24,792.9097156736292,2275.0801405969087,24,0
25,793.8209850198493,2266.740783707118,25,0
26,794.868100306519,2259.900287314859,26,0
27,795.9409447947819,2254.546377439937,27,0
28,796.8676378260529,2250.4771655649847,28,0
29,797.1424911047555,2246.708343451387,29,0
30,797.0460460832803,2241.9425849998092,30,0
31,796.834937603902,2236.039016419255,31,0
32,796.9749449452454,2229.553866209257,32,0
33,797.4848077722763,2222.69309621723,33,0
34,797.891431285296,2215.6023600380836,34,0
35,798.2534823346762,2208.5718565063908,35,0
36,798.8569496269916,2201.4349551516398,36,0
37,799.4913612761518,2194.18540134924,37,0
38,799.6535400246246,2186.560172960492,38,0
39,799.8294042367128,2178.698339690654,39,0
40,800.0260039343093,2170.616923884087,40,0
41,800.1381570728593,2162.0071261260637,41,0
42,800.1200015332605,2152.815084628847,42,0
43,800.0862265519743,2143.4761983457183,43,0
44,799.993282743383,2133.8613134437073,44,0
45,799.8809171188734,2124.111114182399,45,0
46,799.7184244777436,2114.5404129274903,46,0
47,799.5635759752042,2104.9291209323474,47,0
48,799.4009192016329,2095.413451625285,48,0
49,798.8249206736011,2086.1517018807745,49,0
50,798.6082234686415,2077.170471430072,50,0
51,798.0074967198406,2068.269903963436,51,0
52,797.6807364837566,2059.3212861671805,52,0
53,797.0600546268525,2050.8442356336227,53,0
54,796.4332864666139,2042.1603772669494,54,0
55,796.3248737962227,2032.795945161493,55,0
56,795.9977391921095,2023.0994309121545,56,0
57,795.3719288442162,2014.4926465837436,57,0
58,795.1245837728859,2004.9480608965684,58,0
59,794.9161944640738,1995.437419318341,59,0
60,794.4436614768244,1986.0915405834146,60,0
61,794.2795629474647,1976.0758630526693,61,0
62,794.1321369342334,1966.4062101176921,62,0
63,793.9255424232547,1956.4328021361353,63,0
64,793.8576758482309,1946.290526978769,64,0
65,794.0159323619052,1936.2766377649245,65,0
66,794.0819843016495,1925.7968125834234,66,0
67,794.4418124769504,1915.8508830896494,67,0
68,794.9406942710141,1905.4108174845228,68,0
