OuterNeedle,InnerNeedle,InitialOilVolume__L_,deq_mm_,foil,ID,deq,StartFrame_EndFrame,ActualStartFrame
8G,22G,10,4.04,0.08,1082210X-2,3.92869399,711-899,13
8G,22G,10,4.04,0.08,1082210X-3,3.92755005,1024-1349,3
8G,22G,20,4.01,0.22,1082220X-1,3.8863055,129-449,5
8G,22G,20,4.01,0.22,1082220X-3,3.88859096,1056-1349,1
8G,22G,30,4.08,0.31,1082230X-1,3.96551573,190-449,0
8G,22G,30,4.08,0.31,1082230X-4,3.97278205,1558- 1799,0
12G,22G,30,4.02,0.38,10122230X-3,4.17866011,998-1349,0
12G,22G,30,4.02,0.38,10122230X-4,4.28105654,1488-1799,0
14G,22G,20,4.07,0.49,10142220X-3,4.17326273,1012-1349,0
14G,22G,20,4.07,0.49,10142220X-5,4.14609406,1933-2249,0
14G,22G,30,4.39,0.61,10142230X-2,4.45358163,590-899,0
14G,22G,30,4.39,0.61,10142230X-4,4.42757525,1472-1799,0
10G,22G,6.42,4.07,0.05,10010226X-2,7.028534846,603-899,2
10G,22G,6.42,4.07,0.05,10010226X-4,6.219493989,1509-1799,0
10G,22G,13,4.04,0.14,100102213X-1,13.3943055,148-449,0
10G,22G,13,4.04,0.14,100102213X-3,14.34755593,1067-1349,0
10G,22G,25.89,4,0.21,100102226X-2,24.65708158,591-899,9
10G,22G,25.89,4,0.21,100102226X-3,19.83963865,1079-1349,0
10G,22G,30.49,4.04,0.32,100102230X-2,29.53605068,612-899,0
10G,22G,30.49,4.04,0.32,100102230X-3,30.24797907,1058-1349,0
12G,22G,32.68,4.27,0.43,100122233X-1,32.43544137,140-449,0
12G,22G,32.68,4.27,0.43,100122233X-3,31.43128391,1075-1349,0
14G,22G,30,4.45,0.6,100142230X-2,33.45791889,576-899,0
14G,22G,30,4.45,0.6,100142230X-3,31.61035021,1019-1349,23
,,,,0,AirBubble-1,,199-449,0
,,,,0,AirBubble-2,,638-899,0
,,,,0,AirBubble-3,,1071-1349,0
,,,,0,AirBubble-4,,1515-1799,0
8G,22G,20,4.01,0.22,1082220X-2,NaN,,0
8G,22G,30,4.08,0.31,1082230X-3,NaN,,0
14G,22G,20,4.07,0.49,10142220X-2,NaN,,0
10G,22G,6.42,4.07,0.05,10010226X-3,NaN,,0
10G,22G,30.49,4.04,0.32,100102230X-1,NaN,,0
